x,y,z,ele
0,0,0,W
0,2,0,V
0,4,0,V
0,6,0,V
0,8,0,V
0,10,0,V
0,12,0,W
0,14,0,W
2,0,0,V
2,2,0,W
2,4,0,W
2,6,0,W
2,8,0,V
2,10,0,W
2,12,0,W
2,14,0,W
4,0,0,V
4,2,0,W
4,4,0,W
4,6,0,V
4,8,0,W
4,10,0,V
4,12,0,W
4,14,0,V
6,0,0,V
6,2,0,V
6,4,0,V
6,6,0,W
6,8,0,V
6,10,0,W
6,12,0,V
6,14,0,V
8,0,0,V
8,2,0,V
8,4,0,W
8,6,0,V
8,8,0,V
8,10,0,W
8,12,0,W
8,14,0,V
10,0,0,W
10,2,0,W
10,4,0,W
10,6,0,V
10,8,0,W
10,10,0,W
10,12,0,W
10,14,0,W
12,0,0,W
12,2,0,V
12,4,0,V
12,6,0,V
12,8,0,V
12,10,0,W
12,12,0,V
12,14,0,W
14,0,0,W
14,2,0,W
14,4,0,V
14,6,0,W
14,8,0,V
14,10,0,V
14,12,0,V
14,14,0,W
1,1,1,V
1,3,1,W
1,5,1,V
1,7,1,V
1,9,1,V
1,11,1,W
1,13,1,V
1,15,1,V
3,1,1,W
3,3,1,V
3,5,1,W
3,7,1,W
3,9,1,W
3,11,1,W
3,13,1,V
3,15,1,W
5,1,1,W
5,3,1,V
5,5,1,W
5,7,1,W
5,9,1,V
5,11,1,W
5,13,1,W
5,15,1,V
7,1,1,W
7,3,1,W
7,5,1,W
7,7,1,V
7,9,1,V
7,11,1,W
7,13,1,W
7,15,1,V
9,1,1,W
9,3,1,W
9,5,1,V
9,7,1,W
9,9,1,V
9,11,1,V
9,13,1,V
9,15,1,V
11,1,1,V
11,3,1,W
11,5,1,W
11,7,1,V
11,9,1,W
11,11,1,V
11,13,1,W
11,15,1,V
13,1,1,V
13,3,1,W
13,5,1,W
13,7,1,V
13,9,1,V
13,11,1,V
13,13,1,V
13,15,1,V
15,1,1,W
15,3,1,V
15,5,1,V
15,7,1,V
15,9,1,W
15,11,1,V
15,13,1,V
15,15,1,W
0,0,2,V
0,2,2,V
0,4,2,V
0,6,2,V
